,added_at,artist_ids,artists,id,name,release_date
28,2019-07-21T06:12:09Z,0QWrMNukfcVOmgEU0FEDyD,Jacob Collier,2ZA5I1sb4VptWe7lDhaAcq,Moon River,2019-06-13
29,2019-07-20T12:38:36Z,1Bl6wpkWCQ4KVgnASpvzzA,BROCKHAMPTON,1t4pPnbkOjzoA5RvsDjvUU,1999 WILDFIRE,2018-07-07
30,2019-07-20T04:54:22Z,"3hcs9uc56yIGFCSy9leWe7, 20sxb77xiYeusSH8cVdatc","Lil Durk, Meek Mill",5Vw93DRw0NYgrBjzdMG1U8,Bougie (feat. Meek Mill),2019-07-19
31,2019-07-20T04:51:53Z,"7n2wHs1TKAczGzO7Dd2rGr, 2ZRQcIgzPCVaT9XKhXZIzh","Shawn Mendes, Gryffin",1IXGILkPm0tOCNeq00kCPa,If I Can't Have You - Gryffin Remix,2019-06-20
32,2019-07-20T04:49:08Z,2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,0oVxGuRMnawFgA8aduocfc,Forever,2019-07-19
33,2019-07-20T04:46:38Z,2wY79sveU1sp5g7SokKOiI,Sam Smith,6b2RcmUt1g9N9mQ3CbjX2Y,How Do You Sleep?,2019-07-19
34,2019-07-20T04:44:20Z,"15iVAtD3s3FsQR4w1v6M0P, 1bPxKZtCdjB1aj1csBJpdS","Chief Keef, Lil Reese",2ikkgfIIM9kGKZCXzXnTpj,I Don't Like,2012-01-01
35,2019-07-20T04:44:17Z,"15iVAtD3s3FsQR4w1v6M0P, 3q7HBObVc0L8jNeTe5Gofh, 137W8MRPWKqSmrBGDBFSop","Chief Keef, 50 Cent, Wiz Khalifa",3SuzCeGoNOWmbWOoDMou0B,Hate Bein' Sober,2012-01-01
36,2019-07-20T04:43:08Z,4GvEc3ANtPPjt1ZJllr5Zl,Bazzi,4R9ATNRRl1uth17i5qDCc0,I.F.L.Y.,2019-07-18
37,2019-07-20T04:35:45Z,15iVAtD3s3FsQR4w1v6M0P,Chief Keef,4IowQDUOzUvNtp72HMDcKO,Love Sosa,2012-01-01
38,2019-07-19T03:14:38Z,"2jku7tDXc6XoB6MO2hFuqg, 1pPmIToKXyGdsCF6LmqLmI, 55Aa2cqylxrFIXC767Z865","Tory Lanez, Rich The Kid, Lil Wayne",51w9Jbat1pLeWINGCpnQUR,TAlk tO Me (with Rich The Kid feat. Lil Wayne) - Remix,2018-11-27
39,2019-07-18T05:03:53Z,"6oMuImdp5ZcFhWP0ESe6mG, 4O15NlyKLIASxsJ0PrXPfz","Migos, Lil Uzi Vert",4Km5HrUvYTaSUfiSGPJeQR,Bad and Boujee (feat. Lil Uzi Vert),2017-01-27
40,2019-07-18T04:59:40Z,1URnnhqYAYcrqrcwql10ft,21 Savage,1uULQtJ8rbsX5TwjPpPc9Q,4L,2018-12-21
